city,temp_c,rain_mm,humid,price_f,year,month,day_of_week,region_encoded
Ampara,0.1238280084541564,-0.31819136419805427,0.5290728711511561,242.22,2023,1,1,0
Anuradhapura,-0.44195660155759636,0.4798298533502982,1.7527651526699635,320.06,2023,1,1,1
Badulla,0.1238280084541564,1.674657201171312,0.5934777280731995,280.97,2023,1,1,2
Batticaloa,1.0533312963306067,0.6456066366642099,0.08628947981211407,280.43,2023,1,1,3
Colombo,1.6797356859864758,-0.5880195327834641,-1.692894692659309,53.24,2023,1,1,4
Galle,1.7403554656305917,-0.5086583067289319,1.26167811863939,279.53,2023,1,1,5
Gampaha,1.1947774488335454,-0.9134005596070465,-1.5238319432389473,329.62,2023,1,1,6
Hambantota,-1.5533192283663961,-1.3445965545033387,0.7866922988393262,55.63,2023,1,1,7
Jaffna,0.4875466863188546,0.013362202429769491,0.19899797942568886,331.01,2023,1,1,8
Kalutara,1.558496126698243,-0.40901587846046356,0.4083137644223265,406.71,2023,1,1,9
Kandy,0.6896126184659092,-1.275816825256077,0.38416194307656076,495.68,2023,1,1,10
Kegalle,0.3865137202453274,-1.2520084574397177,0.456617407113859,321.74,2023,1,1,11
Kurunegala,1.6191159063423601,0.4692483565430271,0.62568015653422,385.02,2023,1,1,13
Mannar,-1.1087741776428763,0.3942960874915244,-0.9602894451710756,278.23,2023,1,1,14
Matale,-0.7046423133487674,0.5256830061818056,0.456617407113859,79.59,2023,1,1,15
Matara,0.14403460166886142,1.0256587303253593,1.5998036174801131,210.07,2023,1,1,16
Monaragala,-1.8362115333722722,-0.11273396785687637,-1.0407955163236287,129.46,2023,1,1,17
Mullaitivu,0.5481664659629704,0.38547817348546526,-0.8073279099812248,284.8,2023,1,1,18
Nuwara Eliya,1.1745708556188397,0.43044953491636706,-1.3386679795880754,67.52,2023,1,1,19
Polonnaruwa,-0.8056752794222946,0.9824509516956692,-0.6463157676761186,221.69,2023,1,1,20
Monaragala,-1.5533192283663961,-0.7291061568804104,0.7303380490325388,156.08,2023,1,1,17
Ratnapura,-0.4217500083428906,-0.21149460472473866,-1.5721355859304793,257.87,2023,1,1,22
Trincomalee,-1.7351785672987448,-1.5888527724711767,-0.3967469471032045,160.69,2023,1,1,23
Vavuniya,-0.7450554997781781,-1.5077279636154328,-1.2420606942050114,118.23,2023,1,1,24
Ampara,-1.8362115333722722,-0.21943072733019195,0.3439089075002842,165.39,2023,1,0,0
Anuradhapura,-0.15906429655172033,0.29906261622608576,0.2714534434629871,304.7,2023,1,0,1
Badulla,0.8310587709688464,-1.5191912518233097,0.08628947981211407,274.64,2023,1,0,2
Batticaloa,-0.01761814404878161,0.6923415808963236,-1.3869716222796074,367.02,2023,1,0,3
Colombo,-1.3714598894340473,1.1605728146180643,0.2634028363477311,233.04,2023,1,0,4
Galle,0.22486097452768364,1.8968686341240026,0.9316032269139216,89.48,2023,1,0,5
Monaragala,-1.8362115333722722,-1.3251971436900085,1.6561578672868995,443.45,2023,1,0,17
Hambantota,1.3362236013364825,-0.6030099865937647,0.5934777280731995,432.68,2023,1,0,7
Jaffna,1.6797356859864758,1.3774934991671188,0.7544898703783057,294.73,2023,1,0,8
Kalutara,1.093744482760018,-0.9010554799985637,0.5773765138426886,301.64,2023,1,0,9
Kandy,-0.03782473726348735,-0.4310606634756114,1.1409190119105603,228.35,2023,1,0,10
Kegalle,0.16424119488356714,0.4807116447509041,0.4968704426901355,486.71,2023,1,0,11
Monaragala,-0.6440225337046508,-1.289925487665772,1.3260829755614323,87.5,2023,1,0,17
Kurunegala,1.1745708556188397,0.2734906656085142,0.08628947981211407,100.82,2023,1,0,13
Mannar,0.04300163559533417,-0.6224093974070947,0.6659331921104966,290.82,2023,1,0,14
Matale,0.04300163559533417,-1.4415936085699892,0.31975708615451853,376.45,2023,1,0,15
Matara,1.3564301945511883,-0.40813408705985765,0.3519595146155402,460.66,2023,1,0,16
Monaragala,0.3663071270306216,-0.6338726856149717,0.10239069404262492,306.09,2023,1,0,17
Mullaitivu,-1.3512532962193415,-0.3446451062162317,0.456617407113859,67.73,2023,1,0,18
Nuwara Eliya,1.4978763470541272,-0.03778169880537364,0.23120040788671056,73.11,2023,1,0,19
Polonnaruwa,1.1139510759747238,-1.155011403373067,0.9396538340291776,404.04,2023,1,0,20
Puttalam,-0.7450554997781781,1.2364068750701727,1.3099817613309213,495.56,2023,1,0,21
Ratnapura,-0.3207170422693634,-1.1902830593973035,0.47271862134436987,350.99,2023,1,0,22
Trincomalee,-0.30051044905465835,0.09536880268611962,1.0201599051817307,315.42,2023,1,0,23
Vavuniya,0.6896126184659092,1.5556153620895135,0.46466801422911386,199.98,2023,1,0,24
Ampara,-0.03782473726348735,0.7258496541193484,-1.2098582657439902,368.54,2023,1,6,0
Anuradhapura,-0.23989066941054185,-0.620645814605883,-0.839530338442246,336.4,2023,1,6,1
Badulla,0.5279598727482654,-0.8790106949834159,0.44051619288334815,273.64,2023,1,6,2
Batticaloa,-1.8564181265869777,0.00013533142068077652,1.4065890467139852,398.96,2023,1,6,3
Gampaha,-1.0481543979987598,-0.18239548850474338,0.09434008692737007,279.53,2023,1,6,6
Jaffna,0.6289928388217919,0.3951778788921305,0.08628947981211407,195.77,2023,1,6,8
Kalutara,-1.2098071437164035,-1.3957404557384818,0.013834015774816978,180.22,2023,1,6,9
Kandy,-1.1289807708575814,-0.9513175898331009,-1.8297550136186493,66.97,2023,1,6,10
Kegalle,0.9927115166864908,-0.08363485163688109,-0.43699998267948104,315.37,2023,1,6,11
Kilinochchi,0.0025884491659234087,0.7117409917096535,1.350234796907198,361.32,2023,1,6,12
Kurunegala,-0.0782379236928981,-0.2344211811404924,0.41636437153758243,261.26,2023,1,6,13
Mannar,0.4875466863188546,1.656139581758588,0.2634028363477311,468.9,2023,1,6,14
Matale,-0.3207170422693634,-0.1453602496792951,-1.3306173724728199,481.86,2023,1,6,15
Matara,0.04300163559533417,-1.2308454638251756,0.3922125501918168,145.24,2023,1,6,16
